title,summary,prep_time,cook_time,servings,ingredients,instructions,calories,carbohydrates,protein,fat,saturated_fat,polyunsaturated_fat,monounsaturated_fat,trans_fat,cholesterol,sodium,potassium,fiber,sugar,vitamin_a,vitamin_c,calcium,iron,image_url,Vegetarian,Low-Purine,Low-fat/Heart-Healthy,Low-Sodium,Lactose-free,Peanut Allergy,Shellfish Allergy,Fish Allergy,Halal or Kosher
Poqui Poqui,"Poqui Poqui is delicious vegetable dish made of roasted eggplant, tomatoes, and eggs. Perfect for breakfast or dinner meal!",5 minutes,15 minutes,4,"2 large eggplants|2 tablespoons oil|1 small onion, peeled and sliced thinly|2 cloves garlic|2 large Roma tomatoes, chopped|4 eggs, beaten|salt and pepper to taste","Over hot coals or gas stove, grill eggplants until skins are charred. Remove from heat and under running water, peel skin and rinse well. Coarsely chop flesh.|In a skillet over medium heat, heat oil. Add onions and garlic and cook until softened.|Add tomatoes and continue to cook, mashing with the back of the spoon, until softened. |Add eggplant. Season with salt and pepper to taste.|Add beaten eggs, stirring to combine, and continue to cook until eggs are just set. Serve hot.",206,19.6,8.9,11.8,2.3,0,0,0,164,362,832,9.6,10.4,950,26.4,60,1.6,https://www.kawalingpinoy.com/wp-content/uploads/2017/04/poqui-poqui-1-1152x1536.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Singapore Noodles","Singapore Noodles are a Chinese takeout favorite for good reason. This noodle dish is seasoned with curry powder and loaded with bell peppers, shrimp, chicken, and sweet sausage!",20 minutes,20 minutes,8,"1 package (6.5 ounces) rice noodle vermicelli (bihon)|¼ pound boneless, skinless chicken breast, sliced thinly|1 teaspoon cornstarch|2 tablespoons oyster sauce|2 tablespoons soy sauce|2 tablespoons Chinese wine|1 teaspoon sugar|canola oil|¼ pound shrimp, peeled and deveined|4 pieces Chinese sausage, sliced thinly on a bias|4 eggs|1 onion, peeled and sliced thinly|2 cloves garlic, peeled and minced|½ red bell pepper, seeded, cored, and sliced into strips|½ green bell pepper, seeded, cored, and sliced into strips|2 tablespoons curry powder|1 cup bean sprouts|salt and pepper to taste","Soak vermicelli in hot water until softened, then drain well|In a small bowl, whisk together oyster sauce, soy sauce, Chinese wine, and sugar; set aside|Coat chicken with cornstarch and let stand for 8–10 minutes, then drain|In a wide pan over medium-high heat, heat 1 tbsp oil, scramble eggs until just set, remove and keep warm|Add 2 tbsp oil, cook chicken until color changes, remove and keep warm|Cook shrimp until pink, remove with slotted spoon and keep warm|Add oil if needed, cook Chinese sausages until lightly browned, remove and keep warm|Heat 1 tbsp oil, sauté onions and garlic until softened, then add bell peppers and cook until tender-crisp|Add rice noodles, chicken, sausages, and shrimp, then pour in sauce mixture and sprinkle curry powder; toss gently to coat evenly|Add scrambled eggs and bean sprouts, toss for 1–2 minutes until heated through|Season with salt and pepper to taste and serve hot.",122,5,9,7,1,0,0,0,86,400,176,1,2,335,19.1,42,1.3,https://www.kawalingpinoy.com/wp-content/uploads/2021/07/singapore-noodles-1-1152x1536.jpg,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Hawaiian Macaroni Salad,"Hawaiian-style Macaroni Salad is creamy, tangy, and the perfect sides for BBQs, potlucks, and holiday parties. It's easy to make and sure to be a crowd-pleaser!",15 minutes,10 minutes,8,"1 pound uncooked elbow macaroni|½ cup shredded carrots|¼ cup grated onions|2 tablespoons apple cider vinegar|2 cups mayonnaise|½ cup milk|2 tablespoons brown sugar|½ teaspoon salt|¼ teaspoon pepper|green onions, chopped","In a pot over medium heat, bring about 4 quarts of water to a boil, add elbow macaroni and cook according to package directions, then drain well and transfer to a large bowl|While still hot, drizzle apple cider vinegar over the pasta and allow to cool|In another bowl, whisk together mayonnaise, milk, brown sugar, salt, and pepper until smooth|Add shredded carrots and grated onions to the pasta and gently toss to distribute evenly|Add half of the dressing to the macaroni mixture and stir to combine, seasoning with salt and pepper to taste, then let stand for a few minutes to allow pasta to absorb the dressing|Add the remaining dressing and stir to fully coat|Garnish with chopped green onions if desired|Cover with a tight-fitting lid and refrigerate for 2 to 3 hours until completely chilled and flavors have melded. Serve cold.",618,48,9,43,7,0,0,0,25,518,191,2,7,1398,1,39,1,https://www.kawalingpinoy.com/wp-content/uploads/2020/11/hawaiian-macaroni-salad-6-1152x1536.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"Tuna Pasta Salad","Creamy Tuna Pasta Salad is hearty, flavorful, and makes a great side dish or light meal. Perfect for parties, potlucks or picnics and is sure to be a crowd favorite.",10 minutes,20 minutes,4,"1 cup uncooked fusilli pasta|1 can (6.35 ounces) tuna, drained well|¼ cup gherkins pickles, chopped|¼ cup red bell peppers, chopped|¼ cup celery, chopped|½ red onion, peeled and chopped|1 hard-boiled egg, peeled and chopped|¼ cup mayonnaise|½ tablespoon pickle juice|salt and pepper","In a pot of boiling water, cook pasta according to package directions until al dente|Using a colander, drain pasta and rinse well, then let cool completely|In a large bowl, combine cooked pasta, tuna, gherkins pickles, red bell peppers, celery, red onions, hard-boiled eggs, mayonnaise, and pickle juice|Gently stir to combine and season with salt and pepper to taste|Refrigerate for about 30 minutes to allow flavors to meld|Serve cold.",218,14,12,13,2,0,0,0,68,322,181,1,2,425,13,26,1,https://www.kawalingpinoy.com/wp-content/uploads/2020/05/tuna-pasta-salad-2-1152x1536.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Snow Peas with Shrimp Stir-fry","Snow Peas with Shrimp Stir-fry is an easy and mouth-watering stir-fry consisting of crunchy and sweet snow peas, stir-fry veggies, juicy large shrimp, and hardboiled quail eggs, mixed in a savory stir-fry sauce.  Serve it with steamed rice or noodles for a delicious mid-week family meal!",15 minutes,15 minutes,4,"¼ cup light soy sauce (Kikkoman)|½ cup water|¼ cup oyster sauce|2 tablespoons Chinese cooking wine|1 tablespoon corn starch|1 tablespoon sugar|¼ teaspoon pepper|canola oil|1 pound snow peas, ends trimmed|1 large carrot, peeled and cut thinly in a bias|2 stalks celery, cut thinly in a bias|12 quail eggs, hardboiled and peeled|½ pound large shrimp, peeled and deveined|1 onion, peeled and sliced thinly|2 cloves garlic, peeled and minced","In a bowl, combine soy sauce, water, oyster sauce, Chinese cooking wine, cornstarch, sugar, and pepper, stirring until cornstarch is dissolved, then set aside|In a wok or wide pan over medium heat, heat 1 tablespoon of oil, add snow peas and cook for about 10 seconds, then remove and drain on paper towels|Add carrots and celery to the pan and cook for about 30 seconds or until half done, then remove and drain|Add another tablespoon of oil if needed, cook shrimp for 2 to 3 minutes or until pink, then remove and drain|Wipe down wok as needed, add 1 tablespoon oil, sauté onions and garlic until softened|Stir the sauce mixture to redistribute cornstarch and add to wok, bringing it to a boil|When sauce thickens, add shrimp, quail eggs, celery, carrots, and snow peas, and cook for another 2 to 3 minutes or until heated through|Serve hot.",291,22,17,14,2,4,8,0.05,299,1599,516,4,10,4120,72,128,4,https://www.kawalingpinoy.com/wp-content/uploads/2016/02/snowpeas-with-shrimp-stir-fry-3-1152x1536.jpg,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"Kabocha Salad","This Kabocha Salad is creamy with a hint of sweetness, the perfect side dish for any meal!",45 minutes,20 minutes,6,"1 whole (2 to 3 pounds) kabocha (kalabasa)|1 large carrot, peeled and shredded|2 tablespoons green onions, chopped|2 tablespoons raisins|¼ cup mayonnaise|salt and pepper to taste|2 tablespoons chopped walnuts","Using a sharp knife, cut kabocha in half and scoop out the seeds, then carefully peel the skin and slice the flesh into 1 to 1 ½-inch chunks|In a saucepan, place kabocha and enough water to cover, bring to a boil and cook until kabocha can be pierced with a fork but not falling apart|Drain kabocha well and allow to cool completely|In a large bowl, roughly mash the tender kabocha with a fork|Add shredded carrots, green onions, and raisins|Add mayonnaise and gently stir to combine, seasoning with salt and pepper to taste|Top with chopped walnuts, additional raisins, and shredded carrots if desired, and serve cold.",160,19,2,9,1,0,0,0,3,81,650,3,4,5485,20.5,52,1.2,https://www.kawalingpinoy.com/wp-content/uploads/2018/10/Korean-Kabocha-Salad-4-1152x1536.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Ensaladang Pipino",Filipino-style cucumber salad is easy to put together and so light and refreshing! It's the perfect side for your Summer cookouts and barbecues!,10 minutes,10 minutes,4,"½ cup vinegar|2 tablespoons fish sauce|1 teaspoon sesame oil|1 tablespoon sugar|1 teaspoon salt|1 Thai chili pepper, minced|½ teaspoon peppercorns, freshly cracked|2 large cucumbers, washed and sliced thinly|1 small red onion, peeled and sliced thinly","In a small bowl, combine vinegar, fish sauce, sesame oil, chilis, sugar, salt, and peppercorns, whisking until sugar is dissolved|In a large bowl, combine cucumber and onions|Add vinegar mixture and toss gently|Chill in the refrigerator to allow flavors to meld.",60,10,2,1,1,1,1,0,0,1293,281,2,7,121,9,36,1,https://www.kawalingpinoy.com/wp-content/uploads/2013/08/ensaladang-pipino-3-1-1152x1536.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"Ensaladang Talbos ng Kamote","Sweet potato leaves and tomato salad with a simple vinaigrette dressing. It's an easy-to-make, healthy, and delicious side dish that pairs well with your favorite grilled meat or fish.",5 minutes,2 minutes,4,"1 bundle kamote leaves|1 large Roma tomato, diced|2 shallots, peeled and sliced thinly|¼ cup vinegar|2 cloves garlic, peeled and minced|1 teaspoon fish sauce|1 teaspoon canola or olive oil|½ teaspoon sugar|salt and pepper to taste","Pick the leaves from the stems|wash and drain well under cold, running water|Steam kamote leaves for about 1 to 2 minutes or just until wilted. Or, in a pot over medium heat, bring about 2 cups of water to a boil and briefly dip leaves in the boiling water for about 10 to 20 seconds or just wilted|Quickly plunge leaves in iced water for about 30 to 40 seconds or until cold, then drain well|In a bowl, combine kamote leaves, tomatoes, and shallots|In a small bowl, combine vinegar, garlic, fish sauce, oil, sugar, and salt and pepper to taste|Drizzle dressing over the salad and gently toss to combine.",40,6,2,1,1,0,0,0,0,165,395,2,2,5446,19,61,2,https://www.kawalingpinoy.com/wp-content/uploads/2016/05/ensaladang-talbos-ng-kamote-3-1152x1536.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Tofu, Asparagus and Mushroom Stir-Fry",Tofu and Asparagus Stir-fry cooks in minutes and makes a tasty side dish with steamed rice. This vegan dish is delicious as it is nutritious with good-for-you nutrients and protein!,15 minutes,15 minutes,4,"1 ounce dried shiitake mushrooms|1 package (14 ounces) firm tofu, drained|1 tablespoon canola oil|1 small onion, peeled and sliced thinly|2 cloves garlic, peeled and minced|1 bunch (about 2 cups) asparagus, ends trimmed and cut diagonally into 2-inch pieces|1 cup water or liquid from soaking mushrooms|½ cup vegetarian mushroom oyster sauce|¼ cup light soy sauce (I use Kikkoman)|¼ cup Chinese cooking wine|2 tablespoons sugar|1 tablespoon cornstarch|¼ teaspoon pepper","In a small bowl, cover mushrooms with warm water and soak for about 20 to 30 minutes or until soft|Drain mushrooms and reserve 1 cup of the liquid if using|Cut off and discard stems|Cut caps into thin slices|Drain tofu well and pat dry with paper towels|Cut into 1-inch cubes and set aside|In a bowl, combine stir-fry sauce ingredients: water (liquid from soaking mushrooms), oyster sauce, soy sauce, Chinese cooking wine, sugar, cornstarch, and pepper|Stir until smooth and well-blended|Set aside|In a wide skillet or wok over medium-high heat, heat oil|Add onions and garlic and cook until softened|Add asparagus and cook, stirring regularly, for 3 to 4 minutes or until half-done|Add mushrooms and cook for about 1 minute|Add stir-fry sauce and bring to a simmer for about 1 to 2 minutes or until slightly thickened|Add tofu and continue to cook for another 2 to 3 minutes or until tofu cubes are heated through and asparagus is tender-crisp|Serve hot.",169,17.3,0,7.5,1.3,0,0,0,0,1158,356,3,9.1,500,8.3,220,3.4,https://www.kawalingpinoy.com/wp-content/uploads/2017/03/tofu-asparagus-mushroom-stir-fry-1-1-1024x1536.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Chinese Chicken Salad","Chinese Chicken Salad is the mother of all salads! Chock full of lettuce, carrots, edamame, poached chicken, and crisp wonton strips in a sweet and tangy Asian-inspired dressing, it's like a party in your mouth! It's a great side dish or light meal the whole family will love.",10 minutes,20 minutes,6,"1 pound boneless, skinless chicken breast|1 teaspoon salt|1 package (12 ounces) wonton wrappers, cut into thin strips|¼ cup canola oil|1 head iceberg lettuce, torn|¼ head red cabbage, shredded|1 large carrot, peeled and julienned|½ cup edamame|½ cup rice vinegar|2 tablespoons soy sauce|2 tablespoons sesame oil|¼ cup brown sugar|1 tablespoon chili garlic sauce|1 thumb-size ginger, peeled and grated","In a pot over medium heat, combine chicken, salt, and enough water to cover. Bring to a boil, skimming scum that floats on top.|As soon as the water comes to a boil, lower heat, cover, and simmer for about 12 to 15 minutes or until chicken turns opaque and a thermometer inserted in the thickest part of the meat reads 165°F. |With a slotted spoon, remove chicken from the pot and chill in the refrigerator until completely cooled. Coarsely shred. |In a wide pan over medium heat, heat oil to 350 F. Add the wonton strips in batches and fry, stirring regularly, for about 1 to 2 minutes or until golden. With a slotted spoon, remove from oil and drain on paper towels. Wonton strips will crisp as they cool.|In a large bowl, combine chicken, lettuce, red cabbage, carrots, and edamame. Just before serving, drizzle with dressing and garnish with fried wonton strips. Gently toss to combine. |In a bowl, combine rice vinegar, soy sauce, sesame oil, sugar, chili garlic sauce, and ginger. Whisk together until well-blended.",476,61,26,13,1,0,0,0,55,1407,666,4,13,2575,24.8,90,4,https://www.kawalingpinoy.com/wp-content/uploads/2020/12/chinese-chicken-salad-8-1024x1536.jpg,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Tofu and Bean Sprouts Stir Fry,"Bean Sprouts and Tofu vegetable stir-fry is a tasty and filling side dish the whole family will love. It's quick and easy to make and budget-friendly, too.",5 minutes,10 minutes,4,"1 package (12 ounces) firm tofu|2 tablespoons canola oil|1 small onion, chopped|2 cloves garlic, minced|1 large carrot, peeled and cut thinly|4 cups bean sprouts|salt and pepper to taste","Drain tofu from packing liquid. Pat dry with paper towels to absorb moisture. Cut into ½-inch cubes|In a wide skillet over medium heat, heat oil|Add tofu and spread into a single layer. When starting to crisp, turn and continue to cook until lightly browned. Remove from pan, drain excess oil on paper towels, and keep warm|Add onions and garlic to the pan and cook until softened|Add carrots and cook for about 1 minute or until tender yet crisp|Add tofu and bean sprouts and stir fry briefly for about 1 to 2 minutes. Season with salt and pepper to taste. Serve hot.",184,13,11,11,1,0,0,0,0,22,244,3,6,2570,17,134,2,https://www.kawalingpinoy.com/wp-content/uploads/2020/04/ginisang-togue-tokwa-1152x1536.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
